symbol,NetSentiment,Score,Positive,Negative,Neutral,TotalItems,Timestamp
BINANCE:BTCUSDT,Neutral,0,0,0,100,100,2025-05-16 16:08:00
FX:GBPUSD,Neutral,41,41,0,59,100,2025-05-16 16:08:00
